,Features,VI Lloyd,ARI Lloyd,NMI Lloyd,VI Power,ARI Power,NMI Power
0,2.0,0.279,0.865,0.905,0.184,0.935,0.94
1,10.0,0.25,0.843,0.9,0.103,0.942,0.964
2,50.0,0.338,0.784,0.868,0.182,0.897,0.937
3,100.0,0.356,0.772,0.829,0.154,0.913,0.946
4,200.0,0.306,0.804,0.869,0.149,0.916,0.948
5,500.0,0.385,0.755,0.787,0.19,0.893,0.934
6,800.0,0.369,0.764,0.857,0.176,0.901,0.939
7,1000.0,0.348,0.779,0.843,0.181,0.897,0.937
8,1500.0,0.396,0.746,0.815,0.189,0.893,0.934
9,1800.0,0.354,0.773,0.862,0.181,0.898,0.937
10,2000.0,0.345,0.78,0.844,0.183,0.897,0.936
11,5000.0,1.585,0.0,-2.25,1.332,0.156,-1.419
